DOLocationID,month,time,day_of_the_week,num_pickups
237,1,18,0,3467
239,1,17,6,1984
140,1,15,6,961
161,1,13,1,3532
4,1,3,6,333
113,1,19,3,1201
263,1,4,1,77
45,1,13,1,237
230,1,18,3,2715
246,1,17,5,1248
164,1,12,3,1302
236,1,17,4,3577
79,1,20,5,2745
163,1,19,3,1267
13,1,16,3,352
41,1,13,0,346
50,1,20,2,918
236,1,15,1,4619
161,1,6,2,4597
144,1,17,4,588
164,1,0,5,1020
43,1,10,1,1186
114,1,21,1,825
79,1,13,3,600
68,1,18,2,2222
68,1,12,4,1214
50,1,20,1,877
141,1,15,1,2033
229,1,11,1,1189
230,1,0,5,1044
237,1,13,0,3241
211,1,20,0,473
142,1,15,1,2458
161,1,15,2,3404
161,1,5,4,848
229,1,9,6,506
141,1,6,1,843
162,1,7,1,5004
144,1,16,6,580
230,1,5,3,602
161,1,7,2,7241
164,1,12,0,1485
163,1,7,2,2642
163,1,7,4,1861
137,1,7,0,1116
141,1,14,6,1647
125,1,15,6,262
107,1,22,2,1901
186,1,21,4,1641
151,1,19,1,1034
236,1,9,1,3298
234,1,12,0,2077
140,1,17,1,1494
234,1,11,0,1961
186,1,11,2,1553
236,1,11,0,3149
164,1,23,3,818
237,1,18,4,3060
48,1,21,5,1986
48,1,5,1,301
107,1,17,5,1556
100,1,19,5,985
230,1,9,1,2812
41,1,21,4,555
166,1,18,0,566
68,1,22,4,1719
262,1,23,1,566
164,1,18,1,1854
161,1,17,6,1601
50,1,7,2,724
113,1,19,6,807
229,1,16,2,1333
162,1,20,2,2017
249,1,0,4,705
100,1,17,4,979
234,1,16,1,2191
249,1,2,4,281
161,1,22,4,1294
186,1,19,0,1574
161,1,10,2,4374
141,1,12,6,1792
142,1,10,0,1528
236,1,21,4,2176
79,1,9,6,562
230,1,17,2,2633
140,1,16,6,989
249,1,10,5,841
107,1,6,2,866
238,1,18,2,2727
90,1,20,0,1107
262,1,12,1,727
141,1,15,1,2033
233,1,13,2,890
186,1,17,0,1939
238,1,17,2,2624
114,1,1,5,785
162,1,13,6,1392
236,1,16,2,4159
50,1,13,2,793
90,1,18,1,1434
45,1,23,0,111
107,1,0,5,1408
163,1,10,4,1868
68,1,9,1,1659
186,1,10,2,1506
236,1,18,6,2388
142,1,11,6,1972
107,1,15,5,1394
164,1,18,6,1193
237,1,7,4,2243
236,1,10,2,3549
41,1,2,1,97
239,1,22,4,1711
48,1,17,2,2446
239,1,19,6,1447
68,1,11,5,1330
161,1,11,1,3721
163,1,7,4,1861
162,1,21,1,1928
143,1,23,4,755
48,1,17,4,2147
137,1,17,0,948
142,1,9,5,1633
230,1,7,4,2698
107,1,19,3,1778
244,1,16,5,122
236,1,21,0,2088
4,1,2,4,117
230,1,2,5,631
170,1,6,0,1023
75,1,7,4,1258
116,1,23,4,305
238,1,11,5,1245
230,1,8,1,3147
237,1,14,1,3807
144,1,0,5,723
107,1,19,6,1270
244,1,9,2,231
162,1,7,3,3830
249,1,17,0,1258
141,1,18,2,3237
229,1,3,5,340
239,1,18,3,2323
232,1,17,0,379
158,1,18,0,978
141,1,22,5,1839
125,1,17,5,316
239,1,1,0,623
163,1,17,1,1995
125,1,14,3,317
238,1,19,6,1272
162,1,15,0,2238
233,1,22,3,1030
161,1,18,5,2150
229,1,14,2,1377
166,1,16,5,442
148,1,22,5,1460
100,1,22,6,438
142,1,9,6,1292
144,1,15,1,579
230,1,10,0,1644
74,1,5,2,127
170,1,10,2,2882
233,1,1,5,709
230,1,12,2,2728
229,1,15,0,1432
249,1,18,2,2122
148,1,16,5,918
230,1,8,2,3191
234,1,0,4,516
231,1,13,1,1188
249,1,8,1,766
137,1,18,2,1306
170,1,16,3,1619
263,1,23,6,576
141,1,13,4,1478
231,1,0,0,434
224,1,19,0,530
143,1,9,1,660
90,1,8,2,1084
140,1,8,0,1587
163,1,7,1,2452
164,1,8,3,1683
24,1,12,6,199
163,1,22,3,1065
236,1,22,2,2394
237,1,8,4,2797
4,1,21,4,530
263,1,22,5,1552
239,1,22,0,1308
166,1,14,4,534
143,1,8,5,453
140,1,13,2,1665
238,1,8,0,1071
263,1,15,6,1457
79,1,10,6,937
170,1,13,1,2375
113,1,22,2,1121
263,1,14,0,1368
170,1,23,6,830
107,1,8,4,1350
68,1,4,0,378
234,1,11,5,1873
230,1,14,6,2653
125,1,16,5,285
166,1,15,1,652
162,1,8,3,4094
13,1,11,0,649
79,1,5,4,109
234,1,15,2,2535
230,1,12,3,1641
48,1,1,6,1729
161,1,11,2,4272
237,1,13,1,3660
164,1,6,1,779
229,1,15,1,1394
186,1,13,3,1491
263,1,2,6,930
230,1,12,1,2211
148,1,22,2,1018
237,1,12,3,3218
263,1,18,0,2046
237,1,13,6,2539
263,1,22,4,1629
100,1,16,0,1283
100,1,16,1,1416
164,1,16,1,1725
162,1,7,0,3210
100,1,11,1,1374
164,1,10,3,1244
236,1,12,6,3035
186,1,23,3,965
142,1,15,1,2458
262,1,3,5,206
140,1,13,0,1388
142,1,17,0,2673
236,1,13,5,3057
232,1,1,2,132
143,1,12,6,877
231,1,10,5,923
236,1,15,0,4287
48,1,11,5,1552
141,1,12,6,1792
68,1,4,6,526
234,1,11,2,2636
114,1,0,6,1167
13,1,19,2,745
161,1,7,2,7241
