"STATION","NAME","DATE","AWND","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT06","WT08"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-03-02","2.4","0.0","0.0","0.0",,"11.1","4.4","  240","  250","5.8","9.4",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-03-03","4.3","0.8","0.0","0.0",,"8.9","-4.3","  300","  320","8.1","13.4",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-03-04","2.4","0.0","0.0","0.0",,"2.8","-6.0","  240","  230","5.8","9.4",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-03-05","1.6","0.0","0.0","0.0",,"7.8","0.0","  160","  130","5.8","9.4",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-03-06","2.4","1.5","0.0","0.0",,"20.0","6.1","  230","  220","6.7","10.3","    1",,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-03-07","3.3","0.8","0.0","0.0",,"23.3","10.0","  280","  270","13.0","21.9",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-03-08","4.1","0.0","0.0","0.0",,"10.0","3.9","  310","  290","10.3","16.1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-03-09","2.6","14.2","10.0","0.0",,"5.0","0.6","   80","   60","6.3","8.1","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-03-10","0.8","0.0","0.0","0.0",,"10.6","0.6","  140","   40","3.6","4.9","    1",,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-03-11","2.0","0.0","0.0","0.0",,"12.8","4.4","  140","  150","5.8","10.3",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-03-12","4.4","12.7","0.0","0.0",,"8.9","-4.3","  310","  320","11.6","19.7","    1",,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-03-13","4.0","0.0","0.0","0.0",,"1.7","-5.5","  280","  290","9.8","15.2",,,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-03-14","2.5","0.0","0.0","0.0",,"13.3","0.6","  220","  210","6.7","11.6",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-03-15","2.2","0.0","0.0","0.0",,"20.0","7.8","  280","  240","5.8","8.9",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-03-16","2.0","0.0","0.0","0.0",,"19.4","8.9","  140","  160","5.8","8.9",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-03-17","2.5","2.0","0.0","0.0",,"11.7","7.2","   60","   50","6.3","8.5","    1","    1",,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-03-18","2.2","0.0","0.0","0.0",,"23.3","10.0","  150","  160","5.4","8.5","    1",,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-03-19","1.2","1.3","0.0","0.0",,"21.1","9.4","  290","  290","6.3","8.9","    1",,"    1",,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-03-20","3.6","0.0","0.0","0.0",,"16.1","7.8","  300","  310","8.1","13.9",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-03-21","3.6","0.0","0.0","0.0",,"16.7","6.7","  310","  280","7.6","12.1",,,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-03-22","3.3","0.0","0.0","0.0",,"14.4","6.1","  310","  300","7.2","11.2",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-03-23","3.4","1.5","0.0","0.0",,"9.4","3.3","   60","   50","7.2","9.8","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-03-24","5.1","23.6","0.0","0.0",,"8.3","3.3","   60","   60","9.8","13.9","    1",,,,,
